BU,Form/Fragment Name,Form/Fragment Path,Field CSS Class,data-dropdown-json value,Notes
energy,energy-phone-industry-job-function-country-zip-city-business-phone,/content/forms/af/spglobal/energy/form-fragments/energy-phone-industry-job-function-country-zip-city-business-phone,energy_country,data-ci-country-states-cf-servlet,
energy,energy-phone-industry-job-function-country-zip-city-business-phone,/content/forms/af/spglobal/energy/form-fragments/energy-phone-industry-job-function-country-zip-city-business-phone,energy_Country_of_Residence__c,data-country-of-residence-servlet,
energy,energy-phone-industry-job-function-country-zip-city-business-phone,/content/forms/af/spglobal/energy/form-fragments/energy-phone-industry-job-function-country-zip-city-business-phone,energy_industry,data-industry-servlet,
energy,energy-phone-industry-job-function-country-zip-city-business-phone,/content/forms/af/spglobal/energy/form-fragments/energy-phone-industry-job-function-country-zip-city-business-phone,energy_Job_Function__c,data-job-function-servlet,
energy,job-function-country-zip-state-city-phone,/content/forms/af/spglobal/energy/form-fragments/job-function-country-zip-state-city-phone,ci_country_Of_Residence,/api/assets/spglobal/energy/en/form-content-fragments/country-of-residence.json,
energy,job-function-country-zip-state-city-phone,/content/forms/af/spglobal/energy/form-fragments/job-function-country-zip-state-city-phone,commodityinsights_country,/api/assets/spglobal/energy/en/form-content-fragments/country-states-cf1.json,
energy,job-function-country-zip-state-city-phone,/content/forms/af/spglobal/energy/form-fragments/job-function-country-zip-state-city-phone,commodityinsights_jobFunction,/api/assets/spglobal/energy/en/form-content-fragments/job-function-cf.json,
energy,country,/content/forms/af/spglobal/energy/form-fragments/preference-center/country,ci_country_Of_Residence,/api/assets/spglobal/energy/en/form-content-fragments/country-of-residence.json,
energy,country-phone,/content/forms/af/spglobal/energy/form-fragments/preference-center/country-phone,ci_Country,/api/assets/spglobal/energy/en/form-content-fragments/country-states-cf.json,
energy,country-phone,/content/forms/af/spglobal/energy/form-fragments/preference-center/country-phone,ci_country_Of_Residence,/api/assets/spglobal/energy/en/form-content-fragments/country-of-residence.json,
energy,job-function-country-zip-state-city-phone,/content/forms/af/spglobal/energy/form-fragments/preference-center/job-function-country-zip-state-city-phone,ci_Country,/api/assets/spglobal/energy/en/form-content-fragments/country-states-cf.json,
energy,job-function-country-zip-state-city-phone,/content/forms/af/spglobal/energy/form-fragments/preference-center/job-function-country-zip-state-city-phone,ci_country_Of_Residence,/api/assets/spglobal/energy/en/form-content-fragments/country-of-residence.json,
energy,job-function-country-zip-state-city-phone,/content/forms/af/spglobal/energy/form-fragments/preference-center/job-function-country-zip-state-city-phone,ci_jobFunction,/api/assets/spglobal/energy/en/form-content-fragments/job-function-cf.json,
energy,personal-info,/content/forms/af/spglobal/energy/form-fragments/preference-center/personal-info,energy_country,data-ci-country-states-cf-servlet,
energy,personal-info,/content/forms/af/spglobal/energy/form-fragments/preference-center/personal-info,energy_Country_of_Residence__c,data-country-of-residence-servlet,
energy,personal-info,/content/forms/af/spglobal/energy/form-fragments/preference-center/personal-info,energy_industry,data-industry-servlet,
energy,personal-info,/content/forms/af/spglobal/energy/form-fragments/preference-center/personal-info,energy_Job_Function__c,data-job-function-servlet,
energy,regulatory-matters-contact-details,/content/forms/af/spglobal/energy/form-fragments/regulatory-matters-contact-details,energy_country,data-ci-country-states-cf-servlet,
energy,user-form-b,/content/forms/af/spglobal/energy/form-fragments/user-form-b,energy_country,data-ci-country-states-cf-servlet,
energy,dropdown-test,/content/forms/af/spglobal/energy/forms/dropdown-test,commodityinsights_Job_Function__c,data-job-function-servlet,
energy,moc-form,/content/forms/af/spglobal/energy/forms/moc-form,panel_17495792621730812875662,data-countryregionmarket-servlet,
energy,ci-job-function-country-zip-state-city-phone-ko,/content/forms/af/spglobal/energy/ko/form-fragments/ci-job-function-country-zip-state-city-phone-ko,energy_country,/api/assets/spglobal/commodity-insights/ko/form-content-fragments/ci-country-states-cf.json,
energy,ci-job-function-country-zip-state-city-phone-ko,/content/forms/af/spglobal/energy/ko/form-fragments/ci-job-function-country-zip-state-city-phone-ko,energy_Country_of_Residence__c,/api/assets/spglobal/commodity-insights/ko/form-content-fragments/country-of-residence.json,
energy,ci-job-function-country-zip-state-city-phone-ko,/content/forms/af/spglobal/energy/ko/form-fragments/ci-job-function-country-zip-state-city-phone-ko,energy_industry,/api/assets/spglobal/commodity-insights/ko/form-content-fragments/industry.json,
energy,ci-job-function-country-zip-state-city-phone-ko,/content/forms/af/spglobal/energy/ko/form-fragments/ci-job-function-country-zip-state-city-phone-ko,energy_Job_Function__c,/api/assets/spglobal/commodity-insights/ko/form-content-fragments/job-function-cf.json,
energy,country-ko,/content/forms/af/spglobal/energy/ko/form-fragments/country-ko,ci_Country_of_Residence__c,/api/assets/spglobal/energy/ko/form-content-fragments/country-of-residence.json,
energy,ci-job-function-country-zip-state-city-phone-pt,/content/forms/af/spglobal/energy/pt/form-fragments/ci-job-function-country-zip-state-city-phone-pt,energy_country,/api/assets/spglobal/commodity-insights/pt/form-content-fragments/ci-country-states-cf.json,
energy,ci-job-function-country-zip-state-city-phone-pt,/content/forms/af/spglobal/energy/pt/form-fragments/ci-job-function-country-zip-state-city-phone-pt,energy_Country_of_Residence__c,/api/assets/spglobal/commodity-insights/pt/form-content-fragments/country-of-residence.json,
energy,ci-job-function-country-zip-state-city-phone-pt,/content/forms/af/spglobal/energy/pt/form-fragments/ci-job-function-country-zip-state-city-phone-pt,energy_industry,/api/assets/spglobal/commodity-insights/pt/form-content-fragments/industry.json,
energy,ci-job-function-country-zip-state-city-phone-pt,/content/forms/af/spglobal/energy/pt/form-fragments/ci-job-function-country-zip-state-city-phone-pt,energy_Job_Function__c,/api/assets/spglobal/commodity-insights/pt/form-content-fragments/job-function-cf.json,
energy,country-pt,/content/forms/af/spglobal/energy/pt/form-fragments/country-pt,ci_Country_of_Residence__c,/api/assets/spglobal/energy/pt/form-content-fragments/country-of-residence.json,
energy,ci-job-function-country-zip-state-city-phone-zh,/content/forms/af/spglobal/energy/zh/form-fragments/ci-job-function-country-zip-state-city-phone-zh,energy_country,/api/assets/spglobal/commodity-insights/zh/form-content-fragments/ci-country-states-cf.json,
energy,ci-job-function-country-zip-state-city-phone-zh,/content/forms/af/spglobal/energy/zh/form-fragments/ci-job-function-country-zip-state-city-phone-zh,energy_Country_of_Residence__c,/api/assets/spglobal/commodity-insights/zh/form-content-fragments/country-of-residence.json,
energy,ci-job-function-country-zip-state-city-phone-zh,/content/forms/af/spglobal/energy/zh/form-fragments/ci-job-function-country-zip-state-city-phone-zh,energy_industry,/api/assets/spglobal/commodity-insights/zh/form-content-fragments/industry.json,
energy,ci-job-function-country-zip-state-city-phone-zh,/content/forms/af/spglobal/energy/zh/form-fragments/ci-job-function-country-zip-state-city-phone-zh,energy_Job_Function__c,/api/assets/spglobal/commodity-insights/zh/form-content-fragments/job-function-cf.json,
energy,country-zh,/content/forms/af/spglobal/energy/zh/form-fragments/country-zh,ci_Country_of_Residence__c,/api/assets/spglobal/energy/zh/form-content-fragments/country-of-residence.json,
mi,compliants,/content/forms/af/spglobal/mi/en/form-fragment/MIcompliants/compliants,market-intelligence_complianceCountry,/api/assets/spglobal/market-intelligence/en/content-fragments/country-states-cf.json,
mi,company-types,/content/forms/af/spglobal/mi/en/form-fragment/company-types,market-intelligence_Company_Type1__c,/api/assets/spglobal/market-intelligence/en/content-fragments/company-type-job-function-mi-cf.json,
mi,country-state,/content/forms/af/spglobal/mi/en/form-fragment/country-state,market-intelligence_complianceCountry,/api/assets/spglobal/market-intelligence/en/content-fragments/country-states-cf.json,
mi,country-state-city,/content/forms/af/spglobal/mi/en/form-fragment/country-state-city,market-intelligence_complianceCountry,/api/assets/spglobal/market-intelligence/en/content-fragments/country-states-cf.json,
mi,ilevel-industry-job-function,/content/forms/af/spglobal/mi/en/form-fragment/custom-industry-fragments/ilevel-industry-job-function,market-intelligence_Company_Type1__c,/api/assets/spglobal/market-intelligence/en/content-fragments/company-type-job-function-mi-cf-ilevel.json,
mi,email-name-company-essential-intelligence-delivered,/content/forms/af/spglobal/mi/en/form-fragment/essential-intelligence-delivered/email-name-company-essential-intelligence-delivered,market-intelligence_Company_Type1__c,/api/assets/spglobal/market-intelligence/en/content-fragments/company-type-job-function-mi-cf.json,
mi,email-name-company-essential-intelligence-delivered,/content/forms/af/spglobal/mi/en/form-fragment/essential-intelligence-delivered/email-name-company-essential-intelligence-delivered,market-intelligence_complianceCountry,/api/assets/spglobal/market-intelligence/en/content-fragments/country-states-cf.json,
mi,industry-function,/content/forms/af/spglobal/mi/en/form-fragment/industry-function,market-intelligence_Company_Type1__c,/api/assets/spglobal/market-intelligence/en/content-fragments/company-type-job-function-mi-cf.json,
mi,email-name-company-newsletter-hub,/content/forms/af/spglobal/mi/en/form-fragment/newsletter-hub-form/email-name-company-newsletter-hub,market-intelligence_complianceCountry,/api/assets/spglobal/market-intelligence/en/content-fragments/country-states-cf.json,
mi,private-market-industry-function,/content/forms/af/spglobal/mi/en/form-fragment/private-market-industry-function,market-intelligence_Company_Type1__c,/api/assets/spglobal/market-intelligence/en/content-fragments/industry-private-markets.json,
mi,product-info,/content/forms/af/spglobal/mi/en/form-fragment/product-info,market-intelligence_sPProductServiceInterestsCategory,/api/assets/spglobal/market-intelligence/en/content-fragments/critical-business-cf-mi.json,
mi,country-state,/content/forms/af/spglobal/mi/es/form-fragments/country-state,market-intelligence_complianceCountry,/api/assets/spglobal/market-intelligence/en/content-fragments/country-states-cf.json,
mi,country-state-city,/content/forms/af/spglobal/mi/es/form-fragments/country-state-city,market-intelligence_complianceCountry,/api/assets/spglobal/market-intelligence/en/content-fragments/country-states-cf.json,
mi,industry-function,/content/forms/af/spglobal/mi/es/form-fragments/industry-function,market-intelligence_Company_Type1__c,/api/assets/spglobal/market-intelligence/en/content-fragments/company-type-job-function-mi-cf.json,
mi,product-info,/content/forms/af/spglobal/mi/es/form-fragments/product-info,market-intelligence_sPProductServiceInterestsCategory,/api/assets/spglobal/market-intelligence/en/content-fragments/critical-business-cf-mi.json,
mi,mi-form-fragment-section-b,/content/forms/af/spglobal/mi/hi/form-fragment/mi-form-fragment-section-b,marketintelligence_CompanyType,/api/assets/spglobal/market-intelligence/en/content-fragments/company-type-job-function-mi-cf.json,
mi,mi-form-fragment-section-b,/content/forms/af/spglobal/mi/hi/form-fragment/mi-form-fragment-section-b,marketintelligence_criticalBusiness,/api/assets/spglobal/market-intelligence/en/content-fragments/critical-business-cf-mi.json,
mi,mi-form-fragment-section-c,/content/forms/af/spglobal/mi/hi/form-fragment/mi-form-fragment-section-c,marketintelligence_country,/api/assets/spglobal/market-intelligence/en/content-fragments/country-states-cf.json,
mi,mi-form-fragment-section-b-ja,/content/forms/af/spglobal/mi/ja/form-fragment/mi-form-fragment-section-b-ja,marketintelligence_CompanyType,/api/assets/spglobal/market-intelligence/en/content-fragments/company-type-job-function-mi-cf.json,
mi,mi-form-fragment-section-b-ja,/content/forms/af/spglobal/mi/ja/form-fragment/mi-form-fragment-section-b-ja,marketintelligence_criticalBusiness,/api/assets/spglobal/market-intelligence/en/content-fragments/critical-business-cf-mi.json,
mi,mi-form-fragment-section-c-ja,/content/forms/af/spglobal/mi/ja/form-fragment/mi-form-fragment-section-c-ja,marketintelligence_country,/api/assets/spglobal/market-intelligence/en/content-fragments/country-states-cf.json,
